Marca temporal,¿En que rango de edad te encuentras?,¿Cual es tu genero?,¿Procedes de un lugar  fuera de Tegucigalpa?,Las horas que inviertes para llegar a la UNAH las clasificarías como:,¿Posees una computadora en casa?,¿Posees conexión a internet permanente?,¿Consideras que tienes buena calidad de conexión a internet?,¿Estudiaste una carrera relacionada con el área de informática en secundaria?,¿Estudias en mas de una carrera universitaria?,¿En que rango se  encuentra tu indice académico?,¿Que factores crees que te ayudarían a mejorar tu rendimiento académico?,¿Has sido excelencia académica por lo menos alguna vez?,¿Has reprobado una o mas clases?,¿En que año  académico te encuentras?,¿Rango promedio de clases que matriculas por periodo?,¿Cuantas clases matriculaste este periodo?,¿Consideras que tienes un horario flexible?,¿Tienes horas libres entre clases?,¿Cómo considerarías las horas libres que tienes entre clases?,¿Alguna vez te has quedado sin cupo un o mas de una sección de clases?,¿Consideras necesaria una mayor apertura de secciones de clases?,¿Como prefieres estudiar?,¿Cuantas horas dedicas a estudiar a diario ?,¿Cumples con tus obligaciones académicas y horarios de estudio?,¿Aprendes por tu propia cuenta a través de otros recursos externos a la facultad de ingeniería en sistemas?,¿Has tenido atrasos en el transcurso de la carrera?,¿Consideras que el entorno educativo influye en que existan retrasos en el avance de tu carrera?,¿Que te motivo a estudiar esta carrera?,¿Te sientes bien en la carrera?,¿Has considerado alguna vez en abandonar la carrera de ingeniería en sistemas?,¿Consideras que la carrera de ingeniería en sistemas se encuentra sobrepoblada?,¿Consideras que el incremento de la población de estudiantes de ingeniería en sistemas influye en tu rendimiento académico?,¿ Considera que la sobrecarga laboral de los docentes influye en un bajo rendimiento del alumno?,"¿Que porcentaje de docentes consideras, han hecho una buena planificación de sus clases? ",¿Que porcentaje de docentes consideras poseen buenas estrategias educativas?,¿Considera que los recursos económicos que invierte la UNAH en la facultad de ingeniería en sistemas deben ser mayores?,¿Consideras que la UNAH debe contratar mas docentes para la facultad de ingeniería en sistemas?,¿Consideras que la UNAH debe proporcionar mas recursos materiales a disposición de la facultad de ingeniería en sistemas?, ¿Consideras que un aumento de los recursos tanto de infraestructura como de personal ayudaran a mejorar el rendimiento académico?,¿Consideras que las plataformas educativas virtuales son importantes en la educación hoy en día ?,Antes de la crisis mundial causada por el covid-19 ¿Con qué frecuencia utilizabas el campus virtual?,Con respecto a la crisis mundial causada por el covi-19 ¿Como ha aumentado el uso del campus virtual en tu caso?,"¿Has utilizado algún LMS en tus clases?  (Learning Management System, en español, sistema de gestión de aprendizaje es utilizado para realizar cursos online y material de capacitación, que a su vez lleva un registro del progreso de los estudiantes.)",¿Cuál de los siguientes LMS haz utilizado?,¿Qué valoración de uso le das?,¿Te gustaría que se implementara en la plataforma de LMS  una ampliación de recursos digitales?,
2020/04/06 11:44:34 a. m. GMT-5,28-32,Masculino,Si,Normal,No,No,No,Si,No,80-89,Flexibilidad de horarios,Si,Si,3,2 a 4,4,No,Si,Intermedias,Si,Si,Solo,4,Si,Si,No,Si,Te gusta la carrera,Mas o menos,No,No,No,No,21% - 40%,0% - 20%,Si,Si,Si,Si,Si,Muy frecuentemente,Mucho,Si,Moodle,Mucho,Si,
2020/04/06 11:45:40 a. m. GMT-5,23-27,Masculino,Si,Normal,Si,Si,Si,Si,No,80-89,Mejor Planificación,Si,Si,5,4 a 6 ,1,Si,No,Pocas,Si,Si,Grupo,3,Si,Si,Si,Si,Te gusta la carrera,Si,Si,Si,No,No,21% - 40%,20% - 40%,Si,Si,Si,Si,Si,En ocasiones,Intermedio,Si,Moodle,Intermedio,Si,
2020/04/06 11:46:56 a. m. GMT-5,23-27,Masculino,No,Pocas,Si,Si,Si,Si,No,<70,Mejor Planificación;Flexibilidad de horarios,No,Si,4,2 a 4,4,Si,Si,Muchas,Si,Si,Grupo,4,En ocasiones,Si,Si,Si,Te gusta la carrera,Si,No,No,No,No,41% - 60%,20% - 40%,Si,Si,Si,Si,Si,Muy frecuentemente,Intermedio,Si,Moodle;Canvas LMS;Wordpress,Intermedio,Si,
2020/04/06 11:52:27 a. m. GMT-5,23-27,Femenino,Si,Normal,Si,Si,No,No,No,70-79,Flexibilidad de horarios,No,Si,4,4 a 6 ,5,No,Si,Intermedias,Si,Si,Solo,5,Si,Si,Si,Si,Te gusta la carrera,Si,No,Si,No,Si,41% - 60%,20% - 40%,Si,Si,Si,Si,Si,En ocasiones,Mucho,Si,Otras,Intermedio,Si,
2020/04/06 11:55:18 a. m. GMT-5,23-27,Masculino,Si,Muchas,Si,Si,Si,Si,No,<70,Mejor Planificación,Si,Si,5,4 a 6 ,2,No,No,Intermedias,Si,Si,Solo,2,Si,Si,Si,Si,Te gusta la carrera,Si,Si,Si,No,Si,41% - 60%,41% - 60%,Si,Si,Si,Si,Si,Muy frecuentemente,Poco,Si,Moodle,Intermedio,Si,
2020/04/06 11:56:02 a. m. GMT-5,23-27,Femenino,No,Normal,No,Si,No,No,No,70-79,Flexibilidad de horarios,No,Si,5,4 a 6 ,3,No,Si,Intermedias,Si,Si,Grupo,4,Si,Si,Si,Si,Otros,Si,Si,Si,Si,Si,41% - 60%,41% - 60%,Si,Si,Si,Si,Si,Muy frecuentemente,Intermedio,Si,Moodle,Poco,Si,
2020/04/06 12:07:06 p. m. GMT-5,18-22,Masculino,No,Pocas,Si,Si,No,No,No,90-100,Mejor Planificación;Flexibilidad de horarios,Si,No,5,4 a 6 ,2,Si,Si,Pocas,Si,Si,Grupo,1,Si,Si,Si,No,Te gusta la carrera,Si,No,Si,No,No,61% - 80%,41% - 60%,Si,Si,Si,No,Si,En ocasiones,Poco,Si,Moodle,Intermedio,Si,
2020/04/06 12:22:35 p. m. GMT-5,18-22,Femenino,No,Normal,Si,Si,No,No,No,80-89,Mejor Planificación;Flexibilidad de horarios,Si,Si,5,4 a 6 ,4,Si,Si,Intermedias,Si,Si,Solo,8,Si,Si,Si,Si,Te gusta la carrera,Si,Si,Si,Si,Si,0% - 20%,0% - 20%,Si,Si,Si,Si,Si,En ocasiones,Mucho,Si,Moodle,Intermedio,Si,
2020/04/06 12:22:41 p. m. GMT-5,23-27,Masculino,No,Normal,Si,Si,No,Si,No,90-100,Mejor Planificación;Otros,Si,No,5,4 a 6 ,2,Si,No,Pocas,No,Si,Grupo,4,Si,Si,Si,Si,Te gusta la carrera,Si,No,Si,No,No,21% - 40%,20% - 40%,Si,Si,Si,Si,Si,Muy frecuentemente,Intermedio,Si,Moodle;Wordpress,Mucho,Si,
2020/04/06 12:25:04 p. m. GMT-5,18-22,Femenino,No,Normal,Si,Si,No,Si,No,70-79,Otros,No,Si,2,2 a 4,4,Si,Si,Intermedias,Si,Si,Solo,3,Si,No,Si,Si,Te gusta la carrera,Si,No,Si,Si,Si,21% - 40%,20% - 40%,Si,Si,Si,Si,Si,En ocasiones,Mucho,Si,Otras,Poco,No,
2020/04/06 12:35:21 p. m. GMT-5,18-22,Masculino,No,Normal,Si,Si,No,Si,No,<70,Flexibilidad de horarios,No,Si,4,2 a 4,2,No,Si,Intermedias,Si,Si,Grupo,2,Si,Si,Si,Si,Te gusta la carrera,Si,Si,No,No,Si,41% - 60%,41% - 60%,Si,Si,Si,Si,Si,Muy frecuentemente,Mucho,Si,Canvas LMS,Poco,Si,
2020/04/06 12:35:28 p. m. GMT-5,18-22,Masculino,No,Normal,Si,Si,No,Si,No,<70,Flexibilidad de horarios,No,Si,4,2 a 4,2,No,Si,Intermedias,Si,Si,Grupo,2,Si,Si,Si,Si,Te gusta la carrera,Si,Si,No,No,Si,41% - 60%,41% - 60%,Si,Si,Si,Si,Si,Muy frecuentemente,Mucho,Si,Canvas LMS,Poco,Si,
2020/04/06 12:38:12 p. m. GMT-5,28-32,Masculino,No,Muchas,Si,Si,Si,No,No,70-79,Otros,No,Si,4,2 a 4,3,No,No,Intermedias,Si,Si,Solo,3,Si,Si,Si,Si,Te gusta la carrera,Si,No,Si,No,Si,41% - 60%,41% - 60%,Si,Si,Si,Si,Si,En ocasiones,Mucho,Si,Moodle,Intermedio,Si,
2020/04/06 12:40:48 p. m. GMT-5,18-22,Femenino,No,Pocas,Si,Si,No,No,No,80-89,Mejor Planificación;Flexibilidad de horarios,Si,Si,5,4 a 6 ,4,No,Si,Pocas,No,Si,Solo,2,En ocasiones,Si,Si,Si,Test vocacional,Si,No,Si,Si,Si,21% - 40%,20% - 40%,Si,Si,Si,Si,Si,En ocasiones,Intermedio,Si,Wordpress,Poco,Si,
2020/04/06 12:56:40 p. m. GMT-5,23-27,Femenino,No,Normal,Si,No,No,Si,No,70-79,Mejor Planificación;Flexibilidad de horarios,No,No,5,2 a 4,4,No,Si,Muchas,Si,Si,Grupo,3,Si,Si,Si,Si,Influencia de terceros,No,Si,Si,No,Si,21% - 40%,20% - 40%,Si,Si,Si,Si,Si,En ocasiones,Mucho,Si,Canvas LMS;Wordpress,Intermedio,Si,
2020/04/06 12:57:15 p. m. GMT-5,23-27,Masculino,Si,Pocas,Si,Si,Si,No,No,70-79,Mejor Planificación;Flexibilidad de horarios,Si,Si,5,4 a 6 ,2,Si,Si,Pocas,Si,Si,Solo,3,En ocasiones,Si,Si,Si,Te gusta la carrera,Si,No,Si,No,No,41% - 60%,41% - 60%,Si,Si,Si,Si,Si,Muy frecuentemente,Intermedio,Si,Moodle;Canvas LMS;Otras,Intermedio,Si,
2020/04/06 12:58:43 p. m. GMT-5,23-27,Masculino,No,Pocas,Si,Si,Si,Si,Si,80-89,Mejor Planificación;Flexibilidad de horarios,Si,Si,5,4 a 6 ,5,No,Si,Intermedias,Si,Si,Grupo,2,En ocasiones,Si,Si,Si,Te gusta la carrera,Si,No,No,No,Si,21% - 40%,20% - 40%,Si,Si,Si,Si,Si,Muy frecuentemente,Poco,Si,Moodle;Otras,Poco,Si,
2020/04/06 1:14:09 p. m. GMT-5,28-32,Masculino,Si,Muchas,Si,Si,Si,Si,No,70-79,Flexibilidad de horarios,No,Si,5,2 a 4,2,No,Si,Muchas,Si,Si,Grupo,3,En ocasiones,Si,Si,Si,Te gusta la carrera,Si,No,Si,Si,Si,41% - 60%,61% - 80%,Si,Si,Si,Si,Si,En ocasiones,Mucho,Si,Moodle,Poco,Si,
2020/04/06 1:15:39 p. m. GMT-5,>38,Femenino,Si,Normal,No,No,No,No,Si,90-100,Flexibilidad de horarios,Si,No,5,4 a 6 ,3,No,No,Muchas,Si,Si,Solo,3,Si,Si,Si,Si,Te gusta la carrera,Si,No,Si,Si,Si,41% - 60%,41% - 60%,Si,Si,Si,Si,Si,En ocasiones,Mucho,Si,Moodle,Intermedio,Si,
2020/04/06 1:19:13 p. m. GMT-5,23-27,Masculino,Si,Pocas,Si,Si,No,No,No,80-89,Mejor Planificación;Flexibilidad de horarios,Si,No,4,2 a 4,4,No,Si,Intermedias,Si,Si,Solo,3,Si,Si,Si,Si,Test vocacional,Mas o menos,Si,No,Si,Si,61% - 80%,41% - 60%,Si,Si,Si,Si,Si,Nunca,Mucho,Si,Moodle;Wordpress,Intermedio,Si,
2020/04/06 1:25:42 p. m. GMT-5,23-27,Masculino,No,Normal,Si,Si,Si,Si,No,70-79,Flexibilidad de horarios,Si,Si,2,2 a 4,1,No,Si,Pocas,Si,Si,Grupo,1,En ocasiones,Si,Si,Si,Te gusta la carrera,Mas o menos,Si,Si,No,No,21% - 40%,20% - 40%,Si,Si,Si,Si,Si,En ocasiones,Poco,Si,Otras,Poco,Si,
2020/04/06 1:27:17 p. m. GMT-5,23-27,Masculino,No,Pocas,Si,Si,Si,Si,No,70-79,Flexibilidad de horarios,Si,Si,5,2 a 4,3,No,Si,Intermedias,Si,Si,Solo,1,Si,Si,Si,Si,Te gusta la carrera,Si,No,Si,No,No,41% - 60%,41% - 60%,Si,Si,Si,Si,Si,En ocasiones,Intermedio,No,Otras,Poco,Si,
2020/04/06 1:27:53 p. m. GMT-5,28-32,Masculino,Si,Muchas,Si,Si,No,Si,No,80-89,Flexibilidad de horarios,Si,Si,3,2 a 4,2,Si,No,Pocas,No,Si,Solo,3,En ocasiones,No,Si,Si,Te gusta la carrera,Si,Si,Si,Si,Si,61% - 80%,61% - 80%,Si,Si,Si,Si,Si,En ocasiones,Poco,No,Otras,Poco,Si,
2020/04/06 1:32:23 p. m. GMT-5,23-27,Masculino,No,Pocas,Si,Si,Si,Si,No,70-79,Mejor Planificación,Si,Si,5,2 a 4,2,Si,No,Pocas,Si,Si,Grupo,1,En ocasiones,Si,Si,Si,Te gusta la carrera,Si,No,Si,No,Si,0% - 20%,0% - 20%,Si,No,No,No,Si,Nunca,Intermedio,Si,Moodle;Otras,Intermedio,Si,
2020/04/06 1:44:13 p. m. GMT-5,18-22,Masculino,No,Normal,Si,Si,No,No,No,70-79,Flexibilidad de horarios,No,Si,4,2 a 4,4,No,Si,Muchas,Si,Si,Grupo,2,En ocasiones,No,Si,Si,Te gusta la carrera,Si,Si,Si,Si,Si,21% - 40%,20% - 40%,Si,Si,Si,Si,Si,En ocasiones,Mucho,Si,Otras,Poco,Si,
2020/04/06 2:14:23 p. m. GMT-5,18-22,Masculino,No,Pocas,Si,Si,Si,No,No,70-79,Mejor Planificación,Si,Si,3,2 a 4,5,Si,Si,Pocas,No,No,Solo,3,Si,No,No,Si,Test vocacional,Mas o menos,No,Si,No,Si,61% - 80%,41% - 60%,Si,Si,Si,Si,Si,Nunca,Mucho,Si,Otras,Intermedio,Si,
2020/04/06 3:20:30 p. m. GMT-5,23-27,Masculino,No,Normal,Si,No,No,No,No,70-79,Otros,Si,Si,5,4 a 6 ,2,Si,No,Pocas,Si,Si,Solo,1,Si,Si,Si,Si,Influencia de terceros,No,Si,Si,No,Si,0% - 20%,0% - 20%,Si,Si,Si,Si,Si,En ocasiones,Poco,Si,Otras,Poco,Si,
2020/04/06 6:34:37 p. m. GMT-5,23-27,Masculino,No,Normal,Si,Si,Si,Si,No,80-89,Mejor Planificación,Si,Si,5,4 a 6 ,3,Si,Si,Pocas,Si,Si,Solo,4,Si,Si,Si,Si,Te gusta la carrera,Si,No,Si,No,Si,21% - 40%,20% - 40%,Si,Si,Si,Si,Si,En ocasiones,Poco,Si,Otras,Mucho,Si,
2020/04/06 6:47:38 p. m. GMT-5,23-27,Masculino,No,Normal,Si,Si,Si,Si,No,80-89,Mejor Planificación,Si,Si,5,4 a 6 ,3,Si,Si,Pocas,Si,Si,Solo,4,Si,Si,Si,Si,Te gusta la carrera,Si,No,Si,No,Si,21% - 40%,20% - 40%,Si,Si,Si,Si,Si,En ocasiones,Poco,Si,Otras,Mucho,Si,
2020/04/06 7:41:11 p. m. GMT-5,23-27,Masculino,Si,Pocas,Si,Si,Si,Si,No,80-89,Mejor Planificación,Si,Si,5,2 a 4,1,Si,No,Pocas,No,No,Solo,1,Si,Si,Si,Si,Te gusta la carrera,Si,Si,Si,No,Si,41% - 60%,41% - 60%,Si,Si,Si,Si,Si,En ocasiones,Poco,Si,Moodle;Wordpress,Intermedio,Si,
2020/04/06 7:54:49 p. m. GMT-5,23-27,Femenino,No,Pocas,Si,Si,Si,Si,No,80-89,Mejor Planificación;Flexibilidad de horarios,Si,Si,5,4 a 6 ,1,No,No,Pocas,Si,Si,Grupo,1,En ocasiones,Si,Si,Si,Influencia de terceros,Si,Si,Si,No,Si,0% - 20%,0% - 20%,Si,Si,Si,Si,Si,En ocasiones,Intermedio,Si,Moodle;Wordpress,Intermedio,Si,
2020/04/06 11:07:16 p. m. GMT-5,28-32,Masculino,No,Muchas,Si,Si,Si,Si,No,<70,Mejor Planificación;Otros,No,Si,5,2 a 4,4,Si,Si,Intermedias,Si,Si,Solo,2,Si,Si,Si,No,Te gusta la carrera,Si,Si,Si,No,Si,0% - 20%,0% - 20%,Si,Si,Si,Si,Si,Muy frecuentemente,Mucho,Si,Wordpress,Poco,Si,
2020/04/07 12:33:20 a. m. GMT-5,23-27,Masculino,Si,Normal,Si,Si,Si,Si,No,80-89,Mejor Planificación;Flexibilidad de horarios,Si,Si,5,4 a 6 ,4,No,Si,Intermedias,Si,Si,Grupo,4,En ocasiones,Si,Si,Si,Te gusta la carrera,Si,No,No,No,Si,21% - 40%,41% - 60%,Si,Si,Si,Si,Si,Muy frecuentemente,Mucho,Si,Moodle;Wordpress,Mucho,Si,
2020/04/07 9:16:32 a. m. GMT-5,23-27,Masculino,No,Pocas,Si,Si,Si,No,No,80-89,Flexibilidad de horarios,Si,No,3,1 a 2,3,No,No,Pocas,No,Si,Solo,3,Si,Si,Si,Si,Te gusta la carrera,Si,No,No,No,No,41% - 60%,20% - 40%,No,No,Si,Si,Si,Muy frecuentemente,Intermedio,Si,Moodle;Canvas LMS;Otras,Intermedio,Si,
2020/04/07 11:26:55 a. m. GMT-5,23-27,Femenino,Si,Pocas,Si,Si,Si,No,No,70-79,Mejor Planificación;Flexibilidad de horarios,No,Si,5,1 a 2,1,Si,No,Pocas,Si,Si,Grupo,2,Si,Si,Si,Si,Te gusta la carrera,Mas o menos,No,Si,Si,Si,61% - 80%,41% - 60%,Si,Si,Si,Si,Si,Muy frecuentemente,Intermedio,No,Wordpress,Intermedio,Si,
2020/04/07 1:06:47 p. m. GMT-5,23-27,Femenino,Si,Normal,Si,Si,Si,Si,No,70-79,Flexibilidad de horarios,No,No,4,2 a 4,4,No,Si,Intermedias,Si,Si,Solo,5,Si,Si,Si,Si,Te gusta la carrera,Mas o menos,Si,Si,Si,Si,21% - 40%,20% - 40%,Si,Si,Si,Si,Si,En ocasiones,Mucho,Si,Moodle,Poco,Si,
2020/04/07 1:11:40 p. m. GMT-5,23-27,Masculino,No,Normal,Si,Si,No,Si,No,70-79,Mejor Planificación;Flexibilidad de horarios,No,Si,5,2 a 4,4,No,Si,Muchas,Si,Si,Grupo,2,En ocasiones,Si,Si,Si,Te gusta la carrera,Si,Si,Si,Si,Si,21% - 40%,0% - 20%,Si,Si,Si,Si,Si,En ocasiones,Mucho,Si,Moodle;Wordpress,Mucho,Si,
2020/04/07 7:57:43 p. m. GMT-5,23-27,Femenino,No,Normal,Si,Si,Si,Si,No,70-79,Mejor Planificación,Si,Si,4,4 a 6 ,4,No,Si,Intermedias,Si,Si,Solo,1,Si,Si,Si,Si,Otros,Si,No,Si,Si,Si,41% - 60%,41% - 60%,Si,Si,Si,Si,Si,En ocasiones,Mucho,No,Canvas LMS;Wordpress,Mucho,Si,
2020/04/09 2:21:32 p. m. GMT-5,23-27,Masculino,No,Normal,Si,Si,Si,No,No,80-89,Mejor Planificación,Si,No,5,2 a 4,1,Si,No,Pocas,No,Si,Grupo,2,Si,Si,Si,Si,Influencia de terceros,Si,No,Si,Si,Si,41% - 60%,41% - 60%,Si,Si,Si,Si,Si,En ocasiones,Intermedio,Si,Moodle;Otras,Intermedio,Si,
2020/04/09 6:25:04 p. m. GMT-5,23-27,Femenino,Si,Muchas,Si,No,No,No,No,70-79,Mejor Planificación,No,Si,4,2 a 4,2,No,Si,Muchas,Si,Si,Grupo,3,En ocasiones,No,Si,Si,Influencia de terceros,Mas o menos,Si,Si,Si,Si,21% - 40%,41% - 60%,Si,Si,Si,Si,Si,En ocasiones,Mucho,No,Otras,Intermedio,Si,
2020/04/09 6:50:43 p. m. GMT-5,23-27,Femenino,No,Pocas,Si,Si,Si,No,Si,80-89,Mejor Planificación;Flexibilidad de horarios,Si,Si,4,4 a 6 ,4,No,Si,Pocas,Si,Si,Solo,2,Si,Si,Si,Si,Te gusta la carrera,Si,Si,Si,No,No,21% - 40%,41% - 60%,Si,Si,Si,No,Si,En ocasiones,Intermedio,Si,Otras,Mucho,Si,
2020/04/09 6:52:40 p. m. GMT-5,28-32,Masculino,No,Normal,Si,Si,No,No,No,70-79,Flexibilidad de horarios,No,Si,3,2 a 4,1,Si,Si,Intermedias,Si,Si,Solo,2,Si,Si,Si,Si,Te gusta la carrera,Si,No,Si,Si,Si,41% - 60%,61% - 80%,Si,Si,Si,Si,Si,Muy frecuentemente,Intermedio,Si,Otras,Intermedio,Si,
2020/04/09 6:53:50 p. m. GMT-5,23-27,Masculino,Si,Normal,Si,No,No,Si,No,70-79,Mejor Planificación,Si,Si,5,4 a 6 ,4,Si,No,Pocas,Si,Si,Solo,1,Si,Si,Si,Si,Te gusta la carrera,Si,Si,Si,Si,Si,21% - 40%,20% - 40%,Si,Si,Si,Si,Si,En ocasiones,Poco,Si,Moodle,Poco,Si,
2020/04/09 6:58:27 p. m. GMT-5,23-27,Femenino,Si,Muchas,No,No,No,No,Si,80-89,Flexibilidad de horarios,No,No,2,2 a 4,4,No,No,Pocas,Si,Si,Grupo,7,Si,No,Si,Si,Te gusta la carrera,Si,No,No,Si,Si,0% - 20%,0% - 20%,Si,Si,Si,Si,Si,En ocasiones,Mucho,No,Otras,Intermedio,Si,
2020/04/09 7:00:11 p. m. GMT-5,23-27,Masculino,No,Normal,Si,Si,Si,No,No,70-79,Mejor Planificación,Si,Si,5,2 a 4,5,No,Si,Intermedias,Si,Si,Grupo,4,Si,Si,Si,Si,Te gusta la carrera,Si,No,Si,Si,Si,41% - 60%,41% - 60%,Si,Si,Si,Si,Si,Muy frecuentemente,Mucho,Si,Moodle;Wordpress;Otras,Intermedio,Si,
2020/04/09 7:00:34 p. m. GMT-5,23-27,Masculino,No,Pocas,Si,Si,No,Si,No,<70,Mejor Planificación,No,Si,2,2 a 4,2,Si,Si,Intermedias,Si,Si,Solo,3,En ocasiones,Si,Si,Si,Te gusta la carrera,Si,No,Si,No,Si,21% - 40%,0% - 20%,Si,Si,Si,Si,Si,En ocasiones,Mucho,Si,Moodle;Otras,Mucho,Si,
