Marca temporal,¿En que rango de edad te encuentras?,¿Cual es tu genero?,¿Procedes de un lugar  fuera de Tegucigalpa?,Las horas que inviertes para llegar a la UNAH las clasificarías como:,¿Posees una computadora en casa?,¿Posees conexión a internet permanente?,¿Consideras que tienes buena calidad de conexión a internet?,¿Estudiaste una carrera relacionada con el área de informática en secundaria?,¿Estudias en mas de una carrera universitaria?,¿En que rango se  encuentra tu indice académico?,¿Que factores crees que te ayudarían a mejorar tu rendimiento académico?,¿Has sido excelencia académica por lo menos alguna vez?,¿Has reprobado una o mas clases?,¿En que año  académico te encuentras?,¿Rango promedio de clases que matriculas por periodo?,¿Cuantas clases matriculaste este periodo?,¿Consideras que tienes un horario flexible?,¿Tienes horas libres entre clases?,¿Cómo considerarías las horas libres que tienes entre clases?,¿Alguna vez te has quedado sin cupo un o mas de una sección de clases?,¿Consideras necesaria una mayor apertura de secciones de clases?,¿Como prefieres estudiar?,¿Cuantas horas dedicas a estudiar a diario ?,¿Cumples con tus obligaciones académicas y horarios de estudio?,¿Aprendes por tu propia cuenta a través de otros recursos externos a la facultad de ingeniería en sistemas?,¿Has tenido atrasos en el transcurso de la carrera?,¿Consideras que el entorno educativo influye en que existan retrasos en el avance de tu carrera?,¿Que te motivo a estudiar esta carrera?,¿Te sientes bien en la carrera?,¿Has considerado alguna vez en abandonar la carrera de ingeniería en sistemas?,¿Consideras que la carrera de ingeniería en sistemas se encuentra sobrepoblada?,¿Consideras que el incremento de la población de estudiantes de ingeniería en sistemas influye en tu rendimiento académico?,¿ Considera que la sobrecarga laboral de los docentes influye en un bajo rendimiento del alumno?,"¿Que porcentaje de docentes consideras, han hecho una buena planificación de sus clases? ",¿Que porcentaje de docentes consideras poseen buenas estrategias educativas?,¿Considera que los recursos económicos que invierte la UNAH en la facultad de ingeniería en sistemas deben ser mayores?,¿Consideras que la UNAH debe contratar mas docentes para la facultad de ingeniería en sistemas?,¿Consideras que la UNAH debe proporcionar mas recursos materiales a disposición de la facultad de ingeniería en sistemas?, ¿Consideras que un aumento de los recursos tanto de infraestructura como de personal ayudaran a mejorar el rendimiento académico?,¿Consideras que las plataformas educativas virtuales son importantes en la educación hoy en día ?,Antes de la crisis mundial causada por el covid-19 ¿Con qué frecuencia utilizabas el campus virtual?,Con respecto a la crisis mundial causada por el covi-19 ¿Como ha aumentado el uso del campus virtual en tu caso?,"¿Has utilizado algún LMS en tus clases?  (Learning Management System, en español, sistema de gestión de aprendizaje es utilizado para realizar cursos online y material de capacitación, que a su vez lleva un registro del progreso de los estudiantes.)",¿Cuál de los siguientes LMS haz utilizado?,¿Qué valoración de uso le das?,¿Te gustaría que se implementara en la plataforma de LMS  una ampliación de recursos digitales?,
2020/04/09 7:01:43 p. m. GMT-5,23-27,Femenino,No,Muchas,Si,Si,Si,Si,No,70-79,Mejor Planificación;Flexibilidad de horarios,Si,Si,3,2 a 4,4,No,Si,Intermedias,Si,Si,Grupo,2,Si,No,Si,Si,Te gusta la carrera,Si,Si,Si,No,Si,41% - 60%,41% - 60%,Si,Si,Si,Si,Si,En ocasiones,Mucho,Si,Moodle,Intermedio,Si,
2020/04/09 7:04:06 p. m. GMT-5,23-27,Masculino,No,Pocas,Si,Si,Si,No,No,<70,Mejor Planificación,Si,Si,3,2 a 4,2,Si,No,Pocas,Si,Si,Solo,2,Si,Si,Si,Si,Te gusta la carrera,Si,No,Si,Si,Si,41% - 60%,41% - 60%,Si,Si,Si,Si,Si,En ocasiones,Intermedio,Si,Wordpress,Intermedio,Si,
2020/04/09 7:05:57 p. m. GMT-5,23-27,Femenino,Si,Muchas,Si,Si,Si,Si,No,80-89,Mejor Planificación,Si,Si,5,2 a 4,3,Si,Si,Intermedias,Si,Si,Solo,2,Si,Si,Si,Si,Te gusta la carrera,Mas o menos,No,Si,Si,Si,41% - 60%,41% - 60%,Si,Si,Si,Si,Si,Nunca,Mucho,No,Wordpress,Intermedio,Si,
2020/04/09 7:07:02 p. m. GMT-5,18-22,Masculino,No,Normal,Si,Si,Si,No,No,70-79,Flexibilidad de horarios,No,Si,4,4 a 6 ,5,Si,Si,Pocas,Si,Si,Grupo,4,Si,Si,Si,Si,Influencia de terceros,Si,Si,No,No,Si,0% - 20%,0% - 20%,Si,Si,Si,Si,Si,Muy frecuentemente,Mucho,No,Otras,Poco,Si,
2020/04/09 7:09:53 p. m. GMT-5,23-27,Femenino,No,Normal,Si,Si,Si,No,No,80-89,Flexibilidad de horarios,Si,Si,3,2 a 4,3,No,Si,Muchas,Si,Si,Solo,3,Si,Si,Si,Si,Te gusta la carrera,Si,Si,Si,Si,Si,41% - 60%,41% - 60%,Si,Si,Si,Si,Si,Muy frecuentemente,Mucho,Si,Canvas LMS;Wordpress,Intermedio,Si,
2020/04/09 7:15:10 p. m. GMT-5,23-27,Masculino,No,Pocas,Si,Si,Si,No,No,80-89,Mejor Planificación,No,Si,5,2 a 4,3,Si,Si,Pocas,Si,No,Solo,1,Si,Si,Si,No,Te gusta la carrera,Si,Si,Si,No,Si,61% - 80%,41% - 60%,Si,Si,Si,Si,Si,En ocasiones,Intermedio,Si,Moodle;Wordpress;Otras,Poco,Si,
2020/04/09 7:16:46 p. m. GMT-5,23-27,Masculino,Si,Normal,Si,Si,Si,Si,No,<70,Mejor Planificación,No,Si,5,4 a 6 ,4,Si,Si,Intermedias,No,Si,Solo,1,En ocasiones,Si,Si,Si,Te gusta la carrera,Si,No,No,No,No,41% - 60%,20% - 40%,Si,Si,Si,Si,Si,En ocasiones,Mucho,Si,Moodle,Intermedio,Si,
2020/04/09 7:18:00 p. m. GMT-5,18-22,Masculino,No,Muchas,Si,Si,No,No,No,70-79,Flexibilidad de horarios,No,Si,4,4 a 6 ,4,No,Si,Intermedias,Si,No,Solo,3,Si,Si,Si,Si,Te gusta la carrera,Si,Si,Si,No,No,21% - 40%,0% - 20%,Si,Si,Si,Si,Si,En ocasiones,Mucho,No,Otras,Poco,Si,
2020/04/09 7:18:59 p. m. GMT-5,23-27,Femenino,Si,Normal,Si,Si,Si,Si,No,<70,Flexibilidad de horarios,No,Si,2,4 a 6 ,5,Si,Si,Intermedias,Si,Si,Grupo,3,Si,Si,Si,Si,Te gusta la carrera,Si,No,Si,Si,Si,21% - 40%,20% - 40%,Si,Si,Si,Si,Si,Nunca,Mucho,Si,Wordpress,Mucho,Si,
2020/04/09 7:20:59 p. m. GMT-5,18-22,Femenino,Si,Pocas,Si,Si,Si,No,No,70-79,Mejor Planificación,Si,Si,3,4 a 6 ,4,Si,Si,Pocas,Si,Si,Solo,3,Si,Si,Si,Si,Te gusta la carrera,Si,No,Si,Si,Si,21% - 40%,20% - 40%,Si,Si,Si,Si,Si,En ocasiones,Intermedio,No,Otras,Poco,Si,
2020/04/09 7:22:01 p. m. GMT-5,18-22,Masculino,Si,Normal,Si,No,No,Si,Si,90-100,Mejor Planificación;Flexibilidad de horarios,Si,No,4,4 a 6 ,5,No,Si,Intermedias,Si,Si,Solo,2,Si,Si,Si,Si,Te gusta la carrera,Si,No,Si,Si,Si,61% - 80%,61% - 80%,Si,Si,Si,Si,Si,Muy frecuentemente,Mucho,Si,Canvas LMS,Mucho,Si,
2020/04/09 7:22:25 p. m. GMT-5,33-37,Masculino,No,Normal,Si,Si,Si,No,No,<70,Mejor Planificación,No,Si,3,1 a 2,2,Si,No,Pocas,Si,Si,Grupo,3,Si,No,Si,Si,Te gusta la carrera,Si,No,No,Si,Si,0% - 20%,20% - 40%,Si,Si,Si,Si,Si,En ocasiones,Poco,No,Otras,Intermedio,Si,
2020/04/09 7:22:44 p. m. GMT-5,23-27,Masculino,No,Normal,Si,Si,Si,No,No,70-79,Flexibilidad de horarios;Otros,No,Si,5,4 a 6 ,4,Si,Si,Intermedias,Si,Si,Grupo,2,Si,Si,Si,Si,Te gusta la carrera,Si,Si,Si,Si,Si,21% - 40%,20% - 40%,No,Si,Si,Si,Si,En ocasiones,Mucho,Si,Canvas LMS,Intermedio,Si,
2020/04/09 7:25:59 p. m. GMT-5,23-27,Femenino,No,Normal,Si,No,No,No,No,80-89,Mejor Planificación,Si,No,3,2 a 4,3,No,No,Intermedias,Si,Si,Solo,4,Si,Si,No,Si,Test vocacional,Si,No,Si,Si,Si,21% - 40%,20% - 40%,Si,Si,Si,Si,Si,Muy frecuentemente,Mucho,No,Otras,Intermedio,Si,
2020/04/09 7:31:07 p. m. GMT-5,18-22,Masculino,Si,Normal,Si,No,No,No,No,70-79,Flexibilidad de horarios,Si,No,5,4 a 6 ,4,No,Si,Muchas,Si,Si,Grupo,6,En ocasiones,Si,Si,Si,Te gusta la carrera,Si,No,No,No,Si,41% - 60%,41% - 60%,Si,Si,Si,Si,Si,Nunca,Poco,Si,Wordpress,Intermedio,Si,
2020/04/09 7:31:12 p. m. GMT-5,23-27,Masculino,Si,Muchas,No,No,No,No,No,<70,Mejor Planificación,Si,Si,5,4 a 6 ,7,No,Si,Pocas,Si,Si,Grupo,1,No,No,Si,Si,Te gusta la carrera,Si,Si,No,Si,No,0% - 20%,0% - 20%,Si,Si,No,Si,Si,Nunca,Mucho,No,Otras,Intermedio,Si,
2020/04/09 7:31:17 p. m. GMT-5,18-22,Femenino,No,Pocas,Si,Si,Si,Si,No,80-89,Flexibilidad de horarios,Si,No,2,4 a 6 ,4,No,Si,Pocas,Si,Si,Grupo,1,Si,Si,Si,Si,Te gusta la carrera,Mas o menos,Si,Si,Si,Si,41% - 60%,41% - 60%,Si,Si,Si,Si,Si,En ocasiones,Poco,Si,Moodle,Poco,Si,
2020/04/09 7:34:43 p. m. GMT-5,23-27,Masculino,No,Normal,Si,Si,Si,No,No,80-89,Mejor Planificación;Flexibilidad de horarios,No,No,5,4 a 6 ,4,No,Si,Intermedias,Si,Si,Grupo,2,Si,Si,Si,Si,Te gusta la carrera,Si,Si,Si,Si,Si,0% - 20%,0% - 20%,Si,Si,Si,Si,Si,En ocasiones,Poco,No,Otras,Poco,No,
2020/04/09 7:35:50 p. m. GMT-5,28-32,Masculino,Si,Normal,Si,Si,Si,No,No,70-79,Otros,No,Si,6,4 a 6 ,5,No,Si,Intermedias,Si,Si,Solo,3,Si,Si,Si,Si,Te gusta la carrera,Si,No,No,No,Si,41% - 60%,20% - 40%,Si,Si,Si,Si,Si,En ocasiones,Intermedio,Si,Wordpress,Intermedio,Si,
2020/04/09 7:36:39 p. m. GMT-5,23-27,Masculino,No,Normal,Si,Si,Si,No,No,<70,Flexibilidad de horarios,No,Si,5,4 a 6 ,5,No,Si,Intermedias,No,Si,Grupo,2,Si,No,Si,Si,Te gusta la carrera,Si,Si,No,No,Si,41% - 60%,20% - 40%,No,Si,Si,Si,Si,En ocasiones,Poco,Si,Moodle,Poco,Si,
2020/04/09 7:40:17 p. m. GMT-5,23-27,Masculino,No,Pocas,Si,Si,No,Si,No,70-79,Mejor Planificación,Si,Si,5,4 a 6 ,1,Si,No,Pocas,Si,Si,Grupo,5,Si,Si,Si,Si,Te gusta la carrera,Si,No,Si,Si,Si,41% - 60%,41% - 60%,Si,Si,Si,Si,Si,En ocasiones,Mucho,Si,Otras,Intermedio,Si,
2020/04/09 7:40:36 p. m. GMT-5,18-22,Femenino,Si,Muchas,Si,No,No,No,No,70-79,Flexibilidad de horarios,Si,Si,3,2 a 4,3,Si,Si,Intermedias,Si,Si,Solo,4,Si,Si,No,Si,Te gusta la carrera,Si,No,No,Si,Si,21% - 40%,41% - 60%,Si,Si,Si,Si,Si,En ocasiones,Intermedio,Si,Moodle,Intermedio,Si,
2020/04/09 7:40:44 p. m. GMT-5,23-27,Masculino,No,Pocas,Si,No,No,No,No,70-79,Mejor Planificación;Flexibilidad de horarios,Si,Si,5,4 a 6 ,3,Si,Si,Intermedias,Si,Si,Grupo,6,Si,Si,Si,Si,Te gusta la carrera,Si,No,Si,Si,Si,21% - 40%,20% - 40%,No,No,No,No,Si,Muy frecuentemente,Mucho,No,Wordpress,Mucho,Si,
2020/04/09 7:41:26 p. m. GMT-5,23-27,Femenino,No,Normal,Si,Si,No,No,No,<70,Mejor Planificación;Flexibilidad de horarios;Otros,Si,Si,3,2 a 4,2,No,Si,Intermedias,Si,Si,Solo,3,En ocasiones,Si,Si,Si,Te gusta la carrera,Si,No,Si,Si,Si,41% - 60%,41% - 60%,Si,Si,Si,Si,Si,En ocasiones,Intermedio,Si,Moodle;Wordpress;Otras,Mucho,Si,
2020/04/09 7:42:09 p. m. GMT-5,28-32,Femenino,Si,Normal,Si,Si,Si,Si,No,70-79,Mejor Planificación,No,Si,4,2 a 4,2,Si,No,Pocas,Si,Si,Grupo,2,Si,Si,Si,Si,Te gusta la carrera,Si,No,No,No,No,61% - 80%,61% - 80%,Si,Si,Si,Si,Si,En ocasiones,Mucho,Si,Moodle,Intermedio,Si,
2020/04/09 7:45:17 p. m. GMT-5,18-22,Masculino,No,Normal,Si,No,No,Si,No,70-79,Mejor Planificación;Flexibilidad de horarios,Si,Si,2,2 a 4,3,Si,Si,Pocas,Si,Si,Solo,2,Si,Si,Si,Si,Te gusta la carrera,Si,No,No,No,Si,61% - 80%,61% - 80%,Si,Si,Si,Si,Si,En ocasiones,Mucho,Si,Moodle,Intermedio,Si,
2020/04/09 7:47:01 p. m. GMT-5,18-22,Femenino,Si,Muchas,Si,No,No,Si,No,90-100,Mejor Planificación;Flexibilidad de horarios,No,Si,3,2 a 4,2,No,No,Intermedias,Si,Si,Solo,2,Si,Si,Si,Si,Otros,Mas o menos,Si,Si,No,Si,41% - 60%,41% - 60%,Si,Si,Si,Si,Si,En ocasiones,Poco,Si,Moodle,Intermedio,Si,
2020/04/09 7:48:01 p. m. GMT-5,28-32,Masculino,No,Muchas,Si,Si,No,Si,Si,80-89,Mejor Planificación;Flexibilidad de horarios,No,Si,2,1 a 2,1,No,Si,Muchas,Si,Si,Grupo,3,Si,Si,Si,Si,Te gusta la carrera,Si,Si,Si,Si,Si,21% - 40%,0% - 20%,Si,Si,Si,Si,Si,Muy frecuentemente,Mucho,No,Otras,Poco,Si,
2020/04/09 7:56:08 p. m. GMT-5,18-22,Femenino,No,Pocas,Si,Si,No,Si,No,80-89,Mejor Planificación;Flexibilidad de horarios,Si,No,1,4 a 6 ,3,Si,Si,Pocas,No,Si,Solo,2,Si,Si,Si,Si,Te gusta la carrera,Mas o menos,Si,Si,Si,Si,41% - 60%,20% - 40%,Si,Si,Si,Si,Si,En ocasiones,Mucho,No,Otras,Poco,Si,
2020/04/09 8:09:38 p. m. GMT-5,28-32,Masculino,No,Pocas,Si,Si,Si,Si,Si,70-79,Otros,No,Si,5,1 a 2,1,No,No,Pocas,Si,Si,Solo,1,Si,Si,Si,Si,Te gusta la carrera,Si,No,Si,Si,Si,21% - 40%,41% - 60%,Si,Si,Si,Si,Si,En ocasiones,Poco,Si,Moodle;Canvas LMS,Intermedio,Si,
2020/04/09 8:14:47 p. m. GMT-5,18-22,Femenino,No,Normal,No,Si,Si,No,No,90-100,Flexibilidad de horarios,Si,No,4,1 a 2,3,Si,No,Pocas,Si,Si,Grupo,4,Si,No,No,Si,Te gusta la carrera,Si,Si,Si,Si,No,41% - 60%,41% - 60%,Si,Si,Si,Si,Si,En ocasiones,Poco,Si,Moodle;Canvas LMS,Intermedio,Si,
2020/04/09 8:16:45 p. m. GMT-5,18-22,Masculino,No,Muchas,No,No,No,No,No,70-79,Mejor Planificación,Si,Si,2,2 a 4,1,Si,No,Pocas,Si,Si,Grupo,2,Si,Si,Si,Si,Te gusta la carrera,Mas o menos,Si,No,No,No,61% - 80%,61% - 80%,Si,Si,Si,Si,Si,En ocasiones,Intermedio,No,Otras,Poco,Si,
2020/04/09 8:27:13 p. m. GMT-5,18-22,Masculino,Si,Muchas,Si,Si,No,Si,No,<70,Mejor Planificación;Flexibilidad de horarios,No,Si,3,2 a 4,5,Si,No,Pocas,Si,Si,Grupo,5,En ocasiones,Si,Si,Si,Te gusta la carrera,Mas o menos,No,No,No,No,41% - 60%,41% - 60%,Si,Si,Si,No,Si,En ocasiones,Intermedio,No,Otras,Poco,Si,
2020/04/09 8:33:14 p. m. GMT-5,23-27,Femenino,No,Normal,Si,Si,Si,Si,No,70-79,Flexibilidad de horarios,No,Si,2,2 a 4,4,Si,No,Pocas,Si,Si,Grupo,2,Si,Si,Si,Si,Te gusta la carrera,Si,No,Si,Si,Si,41% - 60%,41% - 60%,Si,No,Si,Si,Si,En ocasiones,Mucho,Si,Otras,Poco,Si,
2020/04/09 9:25:23 p. m. GMT-5,18-22,Masculino,Si,Muchas,Si,No,No,No,No,70-79,Mejor Planificación,Si,Si,3,2 a 4,3,Si,No,Pocas,Si,Si,Solo,4,Si,Si,Si,No,Te gusta la carrera,Si,No,Si,No,No,0% - 20%,0% - 20%,Si,Si,Si,Si,Si,Muy frecuentemente,Mucho,No,Otras,Intermedio,Si,
2020/04/09 9:29:44 p. m. GMT-5,28-32,Masculino,No,Normal,Si,Si,Si,No,No,80-89,Otros,Si,No,3,2 a 4,3,Si,Si,Pocas,Si,Si,Solo,5,Si,Si,Si,Si,Te gusta la carrera,Si,No,Si,No,Si,41% - 60%,41% - 60%,Si,Si,Si,Si,Si,Muy frecuentemente,Poco,Si,Moodle,Intermedio,Si,
2020/04/09 10:02:23 p. m. GMT-5,23-27,Masculino,No,Muchas,Si,Si,No,No,No,70-79,Mejor Planificación,Si,Si,5,4 a 6 ,6,No,Si,Muchas,Si,Si,Solo,3,Si,Si,Si,Si,Influencia de terceros,No,Si,No,Si,Si,41% - 60%,20% - 40%,Si,Si,Si,Si,Si,En ocasiones,Mucho,No,Wordpress,Intermedio,Si,
2020/04/09 10:03:18 p. m. GMT-5,23-27,Masculino,No,Muchas,Si,Si,No,No,No,70-79,Mejor Planificación,Si,Si,5,4 a 6 ,6,No,Si,Muchas,Si,Si,Solo,3,Si,Si,Si,Si,Influencia de terceros,No,Si,No,Si,Si,41% - 60%,20% - 40%,Si,Si,Si,Si,Si,En ocasiones,Mucho,No,Wordpress,Intermedio,Si,
2020/04/09 10:45:32 p. m. GMT-5,23-27,Masculino,Si,Muchas,Si,Si,No,Si,Si,80-89,Mejor Planificación;Flexibilidad de horarios,Si,Si,3,4 a 6 ,5,No,Si,Intermedias,Si,Si,Solo,4,Si,Si,Si,Si,Test vocacional,Mas o menos,Si,Si,Si,Si,0% - 20%,0% - 20%,No,Si,Si,No,Si,En ocasiones,Intermedio,No,Wordpress,Intermedio,Si,
2020/04/10 1:03:19 a. m. GMT-5,23-27,Masculino,Si,Normal,Si,No,No,No,No,70-79,Flexibilidad de horarios;Otros,No,Si,4,2 a 4,4,Si,No,Pocas,Si,Si,Solo,2,Si,Si,Si,No,Te gusta la carrera,Si,Si,Si,No,No,41% - 60%,41% - 60%,Si,Si,Si,Si,Si,Muy frecuentemente,Mucho,Si,Moodle;Otras,Intermedio,Si,
2020/04/10 2:44:29 a. m. GMT-5,18-22,Masculino,No,Normal,No,Si,No,Si,No,80-89,Otros,Si,Si,4,4 a 6 ,4,Si,Si,Pocas,Si,Si,Grupo,1,Si,Si,Si,No,Otros,Si,No,Si,No,Si,61% - 80%,61% - 80%,Si,Si,Si,Si,No,En ocasiones,Poco,Si,Canvas LMS;Wordpress;Otras,Intermedio,Si,
2020/04/10 8:29:51 a. m. GMT-5,23-27,Masculino,No,Normal,Si,Si,Si,Si,No,80-89,Mejor Planificación;Flexibilidad de horarios,Si,No,5,4 a 6 ,4,Si,Si,Intermedias,Si,Si,Solo,1,Si,Si,No,Si,Otros,Mas o menos,Si,Si,No,Si,21% - 40%,0% - 20%,Si,Si,Si,Si,Si,En ocasiones,Poco,Si,Moodle,Intermedio,Si,
2020/04/10 9:56:06 a. m. GMT-5,28-32,Masculino,No,Pocas,Si,Si,Si,Si,No,<70,Otros,No,Si,5,2 a 4,3,Si,No,Pocas,Si,Si,Solo,2,Si,Si,Si,No,Te gusta la carrera,Si,No,No,No,No,61% - 80%,41% - 60%,Si,Si,Si,No,Si,En ocasiones,Poco,Si,Otras,Mucho,Si,
2020/04/10 1:05:20 p. m. GMT-5,18-22,Masculino,No,Muchas,Si,Si,Si,No,No,80-89,Flexibilidad de horarios;Otros,Si,No,5,4 a 6 ,3,No,Si,Muchas,Si,Si,Solo,2,Si,Si,Si,Si,Te gusta la carrera,Si,No,No,No,No,61% - 80%,20% - 40%,Si,Si,Si,Si,Si,Muy frecuentemente,Poco,Si,Moodle;Otras,Mucho,Si,
2020/04/10 3:51:57 p. m. GMT-5,23-27,Femenino,No,Normal,Si,Si,Si,No,No,70-79,Flexibilidad de horarios,Si,Si,3,2 a 4,4,No,Si,Muchas,Si,Si,Solo,2,Si,Si,Si,Si,Otros,Mas o menos,Si,Si,Si,Si,41% - 60%,41% - 60%,Si,Si,Si,Si,Si,En ocasiones,Mucho,Si,Otras,Mucho,Si,
2020/04/10 10:27:51 p. m. GMT-5,23-27,Femenino,No,Muchas,Si,Si,No,No,Si,70-79,Mejor Planificación;Flexibilidad de horarios;Otros,Si,Si,5,4 a 6 ,4,Si,Si,Intermedias,Si,Si,Solo,1,Si,Si,Si,Si,Te gusta la carrera,Si,No,Si,No,Si,80% - 100%,80% - 100%,Si,Si,Si,Si,Si,En ocasiones,Mucho,No,Otras,Poco,Si,
2020/04/11 3:07:35 a. m. GMT-5,18-22,Masculino,Si,Normal,Si,Si,No,No,No,70-79,Mejor Planificación;Otros,No,Si,1,4 a 6 ,5,No,Si,Pocas,Si,Si,Solo,4,Si,Si,No,Si,Te gusta la carrera,Mas o menos,No,No,No,No,80% - 100%,41% - 60%,Si,Si,Si,Si,Si,Muy frecuentemente,Mucho,No,Otras,Poco,Si,
2020/04/11 11:22:21 a. m. GMT-5,18-22,Masculino,Si,Muchas,No,No,No,No,No,70-79,Mejor Planificación,Si,Si,1,2 a 4,5,Si,Si,Intermedias,No,Si,Grupo,2,Si,Si,Si,Si,Te gusta la carrera,Si,No,No,Si,Si,41% - 60%,41% - 60%,Si,Si,Si,Si,Si,Muy frecuentemente,Mucho,No,Otras,Poco,Si,
2020/04/11 12:10:06 p. m. GMT-5,18-22,Femenino,Si,Pocas,Si,Si,Si,Si,No,80-89,Mejor Planificación;Flexibilidad de horarios,No,Si,2,2 a 4,5,Si,No,Pocas,No,Si,Solo,3,Si,Si,Si,Si,Te gusta la carrera,Si,No,No,No,No,0% - 20%,41% - 60%,Si,Si,Si,Si,Si,Muy frecuentemente,Mucho,No,Otras,Poco,No,
